OwnX,OwnY,OwnW,OwnDir,OwnDist,,,
62,-69,103,-138,1,,,
62,-69,103,-138,1,,,
63,-69,104,-137,1,,,
63,-69,104,-137,1,,,
63,-69,104,-137,1,,,
63,-69,104,-137,1,,,
65,-68,108,-136,1,,,
65,-68,108,-136,1,,,
65,-68,108,-136,1,,,
65,-68,104,-136,1,,,
65,-68,104,-136,1,,,
65,-68,104,-136,1,,,
67,-67,106,-135,1,,,
67,-67,106,-135,1,,,
67,-67,106,-135,1,,,
68,-65,110,-133,1,,,
68,-65,110,-133,1,,,
68,-65,110,-133,1,,,
68,-65,110,-133,1,,,
69,-63,105,-132,1,,,
69,-63,105,-132,1,,,
69,-63,105,-132,1,,,
70,-63,104,-131,1,,,
70,-63,104,-131,1,,,
70,-63,104,-131,1,,,
72,-62,106,-130,1,,,
72,-62,106,-130,1,,,
72,-62,106,-130,1,,,
72,-62,106,-130,1,,,
73,-61,106,-129,1,,,
73,-61,106,-129,1,,,
73,-61,106,-129,1,,,
73,-58,103,-128,1,,,
73,-58,103,-128,1,,,
73,-58,103,-128,1,,,
74,-56,105,-127,1,,,
74,-56,105,-127,1,,,
74,-56,105,-127,1,,,
75,-55,104,-126,1,,,
75,-55,104,-126,1,,,
75,-55,104,-126,1,,,
75,-55,104,-126,1,,,
76,-52,104,-124,1,,,
76,-52,104,-124,1,,,
76,-52,104,-124,1,,,
79,-51,107,-122,1,,,
79,-51,107,-122,1,,,
79,-51,107,-122,1,,,
81,-49,105,-121,1,,,
81,-49,105,-121,1,,,
81,-49,105,-121,1,,,
81,-49,105,-121,1,,,
80,-44,104,-118,1,,,
80,-44,104,-118,1,,,
80,-44,104,-118,1,,,
81,-40,108,-116,1,,,
81,-40,108,-116,1,,,
81,-40,108,-116,1,,,
83,-38,106,-114,1,,,
83,-38,106,-114,1,,,
83,-38,106,-114,1,,,
85,-36,106,-112,1,,,
85,-36,106,-112,1,,,
85,-36,106,-112,1,,,
85,-36,106,-112,1,,,
84,-33,108,-111,1,,,
84,-33,108,-111,1,,,
84,-33,108,-111,1,,,
84,-32,106,-110,1,,,
84,-32,106,-110,1,,,
84,-32,106,-110,1,,,
86,-31,105,-109,1,,,
86,-31,105,-109,1,,,
86,-31,105,-109,1,,,
88,-29,106,-108,1,,,
88,-29,106,-108,1,,,
88,-29,106,-108,1,,,
88,-29,106,-108,1,,,
88,-27,102,-107,1,,,
88,-27,102,-107,1,,,
88,-27,102,-107,1,,,
90,-25,100,-105,1,,,
90,-25,100,-105,1,,,
90,-25,100,-105,1,,,
91,-25,104,-105,1,,,
91,-25,104,-105,1,,,
91,-25,104,-105,1,,,
100,-35,112,-109,1,,,
100,-35,112,-109,1,,,
100,-35,112,-109,1,,,
100,-35,112,-109,1,,,
89,-34,98,-110,1,,,
89,-34,98,-110,1,,,
89,-34,98,-110,1,,,
88,-36,100,-112,1,,,
88,-36,100,-112,1,,,
88,-36,100,-112,1,,,
88,-39,100,-113,1,,,
88,-39,100,-113,1,,,
88,-39,100,-113,1,,,
86,-40,98,-114,1,,,
86,-40,98,-114,1,,,
86,-40,98,-114,1,,,
86,-40,98,-114,1,,,
87,-43,98,-116,1,,,
87,-43,98,-116,1,,,
87,-43,98,-116,1,,,
85,-45,98,-117,1,,,
85,-45,98,-117,1,,,
85,-45,98,-117,1,,,
83,-48,98,-120,1,,,
83,-48,98,-120,1,,,
83,-48,98,-120,1,,,
83,-48,98,-120,1,,,
81,-51,98,-122,1,,,
81,-51,98,-122,1,,,
81,-51,98,-122,1,,,
79,-55,99,-124,1,,,
79,-55,99,-124,1,,,
79,-55,99,-124,1,,,
76,-56,99,-126,1,,,
76,-56,99,-126,1,,,
76,-56,99,-126,1,,,
76,-59,102,-127,1,,,
76,-59,102,-127,1,,,
76,-59,102,-127,1,,,
76,-59,102,-127,1,,,
75,-59,101,-128,1,,,
75,-59,101,-128,1,,,
75,-59,101,-128,1,,,
74,-61,102,-129,1,,,
74,-61,102,-129,1,,,
74,-61,102,-129,1,,,
72,-61,102,-130,1,,,
72,-61,102,-130,1,,,
72,-61,102,-130,1,,,
72,-61,102,-130,1,,,
71,-63,104,-131,1,,,
71,-63,104,-131,1,,,
71,-63,104,-131,1,,,
69,-65,101,-133,1,,,
69,-65,101,-133,1,,,
69,-65,101,-133,1,,,
67,-66,103,-134,1,,,
67,-66,103,-134,1,,,
67,-66,103,-134,1,,,
65,-69,98,-136,1,,,
65,-69,98,-136,1,,,
65,-69,98,-136,1,,,
63,-70,98,-138,1,,,
63,-70,98,-138,1,,,
63,-70,98,-138,1,,,
63,-70,98,-138,1,,,
61,-71,100,-139,1,,,
61,-71,100,-139,1,,,
61,-71,100,-139,1,,,
60,-72,98,-140,1,,,
60,-72,98,-140,1,,,
60,-72,98,-140,1,,,
59,-73,98,-141,1,,,
59,-73,98,-141,1,,,
59,-73,98,-141,1,,,
59,-73,98,-141,1,,,
58,-73,101,-141,1,,,
58,-73,101,-141,1,,,
58,-73,101,-141,1,,,
56,-76,100,-143,1,,,
56,-76,100,-143,1,,,
56,-76,100,-143,1,,,
55,-75,102,-143,1,,,
55,-75,102,-143,1,,,
55,-75,102,-143,1,,,
54,-77,102,-144,1,,,
54,-77,102,-144,1,,,
54,-77,102,-144,1,,,
54,-77,102,-144,1,,,
52,-77,102,-145,1,,,
52,-77,102,-145,1,,,
52,-77,102,-145,1,,,
51,-77,101,-146,1,,,
51,-77,101,-146,1,,,
51,-77,101,-146,1,,,
50,-78,104,-147,1,,,
50,-78,104,-147,1,,,
50,-78,104,-147,1,,,
50,-78,105,-147,1,,,
50,-78,105,-147,1,,,
50,-78,105,-147,1,,,
50,-78,105,-147,1,,,
50,-78,103,-147,1,,,
50,-78,103,-147,1,,,
